district_key,district_name,datetime,temperature_c,humidity_pct,rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,temperature_6h_avg,humidity_6h_avg,heat_risk,rainfall_risk,dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,overall_weather_risk,weather_risk_level,hour,day,month,flood_target,rainfall_intensity,humidity_rain_index,flood_pressure_index
begusarai,Begusarai,2026-06-26 02:00:00,29.9,75,0.0,0.0,0.0,30.200000000000003,73.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,2,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 03:00:00,29.2,81,0.0,0.0,0.0,29.71666666666667,75.83333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,3,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 04:00:00,28.6,86,0.0,0.0,0.0,29.383333333333336,77.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,4,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 05:00:00,27.8,91,0.0,0.0,0.0,28.933333333333337,77.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,5,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 06:00:00,28.3,89,0.2,0.1999999999999995,0.2,28.683333333333334,87.83333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,6,26,6,0,0.008333333333333333,0.17800000000000002,4.159943872
begusarai,Begusarai,2026-06-26 07:00:00,29.4,84,0.0,0.0,0.1,29.25,85.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,7,26,6,0,0.004166666666666667,0.084,2.079971936
begusarai,Begusarai,2026-06-26 08:00:00,31.0,75,0.0,0.0,0.0,30.45,79.66666666666667,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,8,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 09:00:00,32.3,70,0.0,0.0,0.0,31.5,74.33333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,9,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 10:00:00,33.8,64,0.0,0.0,0.0,33.016666666666666,67.83333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,10,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 11:00:00,34.4,57,0.0,0.0,0.0,33.96666666666667,63.333333333333336,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,11,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 12:00:00,35.5,54,0.0,0.0,0.0,34.26666666666667,59.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,12,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 13:00:00,35.9,52,0.0,0.0,0.0,35.0,56.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,13,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 14:00:00,36.1,50,0.0,0.0,0.0,35.35,54.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,14,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 15:00:00,35.9,50,0.2,0.1999999999999995,0.4,35.666666666666664,53.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,15,26,6,0,0.016666666666666666,0.2,8.319887744
begusarai,Begusarai,2026-06-26 16:00:00,35.5,51,0.1,0.0999999999999995,0.3,35.550000000000004,52.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,16,26,6,0,0.012499999999999999,0.153,6.239915808
begusarai,Begusarai,2026-06-26 17:00:00,35.3,56,0.0,0.0,0.8,35.38333333333333,52.833333333333336,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,17,26,6,0,0.03333333333333333,0.44800000000000006,16.639775488
begusarai,Begusarai,2026-06-26 18:00:00,33.8,67,0.0,0.2999999999999996,0.7000000000000001,34.75,58.66666666666666,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,18,26,6,0,0.02916666666666667,0.4690000000000001,14.559803552000002
begusarai,Begusarai,2026-06-26 19:00:00,32.7,71,0.0,0.0,0.0,33.166666666666664,66.16666666666667,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,19,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 20:00:00,32.0,75,0.0,0.0,0.0,32.21666666666666,70.66666666666667,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,20,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 21:00:00,31.4,75,0.0,0.0,0.0,31.616666666666664,74.0,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,21,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 22:00:00,31.2,71,0.0,0.0,0.0,31.316666666666663,75.5,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,22,26,6,0,0.0,0.0,0.0
begusarai,Begusarai,2026-06-26 23:00:00,31.7,71,0.0,0.0,0.0,31.08333333333333,75.33333333333333,0,0,Begusarai,21.87259266,1.072873296,20.79971936,Begusarai,126,10,3830215,22.0,0,0,LOW,23,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 00:00:00,29.9,65,0.0,0.0,0.0,29.9,65.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,0,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 01:00:00,29.6,67,0.0,0.0,0.0,30.45,61.66666666666666,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,1,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 02:00:00,29.4,69,0.0,0.0,0.0,30.016666666666666,64.33333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,2,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 03:00:00,28.8,72,0.0,0.0,0.0,29.633333333333336,66.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,3,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 04:00:00,28.0,74,0.0,0.0,0.0,29.25,67.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,4,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 05:00:00,29.4,69,0.0,0.0,1.0,29.166666666666668,68.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,5,25,6,0,0.041666666666666664,0.69,3.470539782
gaya,Gaya,2026-06-25 06:00:00,30.1,69,0.0,0.0,0.0,29.55,76.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,6,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 07:00:00,31.6,64,0.0,0.0,0.0,30.566666666666663,70.83333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,7,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 08:00:00,32.8,59,0.0,0.0,0.0,31.98333333333333,64.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,8,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 09:00:00,34.2,54,0.0,0.0,0.0,33.36666666666667,59.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,9,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 10:00:00,35.3,48,0.0,0.0,0.0,34.6,54.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,10,25,6,0,0.0,0.0,0.0
