date,district,latitude,longitude,lst_day_k,lst_night_k,qc_day,qc_night,lst_day_c,lst_night_c
2026-08-08,IND.5.10_1,24.437,84.4853,15007.0,14918.992700729927,2,2,26.99000000000001,25.229854014598573
2026-08-09,IND.5.10_1,24.437,84.4853,15007.0,14918.992700729927,2,2,26.99000000000001,25.229854014598573
2026-08-10,IND.5.10_1,24.437,84.4853,15007.0,14918.992700729927,2,2,26.99000000000001,25.229854014598573
2026-08-08,IND.5.10_1,24.437,84.53529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.437,84.53529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.437,84.53529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.437,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.437,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.437,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.437,84.63529999999999,14908.597432905484,14953.994486059653,2,2,25.021948658109693,25.929889721193092
2026-08-09,IND.5.10_1,24.437,84.63529999999999,14908.597432905484,14953.994486059653,2,2,25.021948658109693,25.929889721193092
2026-08-10,IND.5.10_1,24.437,84.63529999999999,14908.597432905484,14953.994486059653,2,2,25.021948658109693,25.929889721193092
2026-08-08,IND.5.10_1,24.437,84.88529999999997,14777.97341673182,14953.994486059653,2,2,22.409468334636415,25.929889721193092
2026-08-09,IND.5.10_1,24.437,84.88529999999997,14777.97341673182,14953.994486059653,2,2,22.409468334636415,25.929889721193092
2026-08-10,IND.5.10_1,24.437,84.88529999999997,14777.97341673182,14953.994486059653,2,2,22.409468334636415,25.929889721193092
2026-08-08,IND.5.10_1,24.437,84.93529999999997,14734.0,14949.708133971293,2,2,21.53000000000003,25.844162679425892
2026-08-09,IND.5.10_1,24.437,84.93529999999997,14734.0,14949.708133971293,2,2,21.53000000000003,25.844162679425892
2026-08-10,IND.5.10_1,24.437,84.93529999999997,14734.0,14949.708133971293,2,2,21.53000000000003,25.844162679425892
2026-08-08,IND.5.10_1,24.437,84.98529999999997,15007.0,14905.249526216045,2,2,26.99000000000001,24.95499052432092
2026-08-09,IND.5.10_1,24.437,84.98529999999997,15007.0,14905.249526216045,2,2,26.99000000000001,24.95499052432092
2026-08-10,IND.5.10_1,24.437,84.98529999999997,15007.0,14905.249526216045,2,2,26.99000000000001,24.95499052432092
2026-08-08,IND.5.10_1,24.437,85.03529999999996,15007.0,14897.150341214585,2,2,26.99000000000001,24.79300682429175
2026-08-09,IND.5.10_1,24.437,85.03529999999996,15007.0,14897.150341214585,2,65,26.99000000000001,24.79300682429175
2026-08-10,IND.5.10_1,24.437,85.03529999999996,15007.0,14897.150341214585,2,2,26.99000000000001,24.79300682429175
2026-08-08,IND.5.10_1,24.437,85.08529999999996,15007.0,14891.181739608708,2,2,26.99000000000001,24.673634792174198
2026-08-09,IND.5.10_1,24.437,85.08529999999996,15007.0,14891.181739608708,2,65,26.99000000000001,24.673634792174198
2026-08-10,IND.5.10_1,24.437,85.08529999999996,15007.0,14891.181739608708,2,2,26.99000000000001,24.673634792174198
2026-08-08,IND.5.10_1,24.437,85.13529999999996,15007.0,14893.46800115485,2,2,26.99000000000001,24.71936002309701
2026-08-09,IND.5.10_1,24.437,85.13529999999996,15007.0,14893.46800115485,2,65,26.99000000000001,24.71936002309701
2026-08-10,IND.5.10_1,24.437,85.13529999999996,15007.0,14893.46800115485,2,2,26.99000000000001,24.71936002309701
2026-08-08,IND.5.10_1,24.487,84.3353,14972.741190765493,14953.994486059653,2,2,26.304823815309874,25.929889721193092
2026-08-09,IND.5.10_1,24.487,84.3353,14972.741190765493,14953.994486059653,2,2,26.304823815309874,25.929889721193092
2026-08-10,IND.5.10_1,24.487,84.3353,14972.741190765493,14953.994486059653,2,2,26.304823815309874,25.929889721193092
2026-08-08,IND.5.10_1,24.487,84.3853,15007.0,14866.937351684863,2,2,26.99000000000001,24.18874703369727
2026-08-09,IND.5.10_1,24.487,84.3853,15007.0,14866.937351684863,2,2,26.99000000000001,24.18874703369727
2026-08-10,IND.5.10_1,24.487,84.3853,15007.0,14866.937351684863,2,2,26.99000000000001,24.18874703369727
2026-08-08,IND.5.10_1,24.487,84.4353,15007.0,14880.204909584934,2,2,26.99000000000001,24.454098191698733
2026-08-09,IND.5.10_1,24.487,84.4353,15007.0,14880.204909584934,2,65,26.99000000000001,24.454098191698733
2026-08-10,IND.5.10_1,24.487,84.4353,15007.0,14880.204909584934,2,2,26.99000000000001,24.454098191698733
2026-08-08,IND.5.10_1,24.487,84.4853,15007.0,14870.103798354628,2,2,26.99000000000001,24.252075967092594
2026-08-09,IND.5.10_1,24.487,84.4853,15007.0,14870.103798354628,2,2,26.99000000000001,24.252075967092594
2026-08-10,IND.5.10_1,24.487,84.4853,15007.0,14870.103798354628,2,2,26.99000000000001,24.252075967092594
2026-08-08,IND.5.10_1,24.487,84.53529999999999,15007.0,14844.0,2,2,26.99000000000001,23.730000000000018
2026-08-09,IND.5.10_1,24.487,84.53529999999999,15007.0,14844.0,2,2,26.99000000000001,23.730000000000018
2026-08-10,IND.5.10_1,24.487,84.53529999999999,15007.0,14844.0,2,2,26.99000000000001,23.730000000000018
2026-08-08,IND.5.10_1,24.487,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.487,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.487,84.58529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.487,84.63529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-09,IND.5.10_1,24.487,84.63529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-10,IND.5.10_1,24.487,84.63529999999999,15007.0,14953.994486059653,2,2,26.99000000000001,25.929889721193092
2026-08-08,IND.5.10_1,24.487,84.68529999999998,14901.081871345028,14953.994486059653,2,2,24.871637426900577,25.929889721193092
2026-08-09,IND.5.10_1,24.487,84.68529999999998,14901.081871345028,14953.994486059653,2,2,24.871637426900577,25.929889721193092
2026-08-10,IND.5.10_1,24.487,84.68529999999998,14901.081871345028,14953.994486059653,2,2,24.871637426900577,25.929889721193092
2026-08-08,IND.5.10_1,24.487,84.73529999999998,14916.433070866142,14953.994486059653,2,2,25.17866141732287,25.929889721193092
2026-08-09,IND.5.10_1,24.487,84.73529999999998,14916.433070866142,14953.994486059653,2,2,25.17866141732287,25.929889721193092
2026-08-10,IND.5.10_1,24.487,84.73529999999998,14916.433070866142,14953.994486059653,2,2,25.17866141732287,25.929889721193092
2026-08-08,IND.5.10_1,24.487,84.83529999999998,15007.0,14930.0,2,2,26.99000000000001,25.450000000000045
2026-08-09,IND.5.10_1,24.487,84.83529999999998,15007.0,14930.0,2,2,26.99000000000001,25.450000000000045
2026-08-10,IND.5.10_1,24.487,84.83529999999998,15007.0,14930.0,2,2,26.99000000000001,25.450000000000045
2026-08-08,IND.5.10_1,24.487,84.88529999999997,15007.0,14934.0,2,2,26.99000000000001,25.53000000000003
