dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Papum Pare,0.846868747,0.021507801,0.825360946,papumpare,Papum Pare,73,9,245559,4.0,0,,,
Parbhani,3.612234955,0.631474073,2.980760882,parbhani,Parbhani,230,15,2068053,4.0,0,,,
Paschim Bardhaman,2.156244683,0.422563785,1.733680898,paschimbardhaman,Paschim Bardhaman,117,0,3727296,13.0,0,,,
Pashchim Champaran,6.581510908,0.22060865,6.360902258,pashchimchamparan,Pashchim Champaran,194,11,4925046,20.0,0,,,
Pashchimi Singhbhum,0.910148694,0.04196336,0.868185334,pashchimisinghbhum,Pashchimi Singhbhum,2,0,1744372,3.0,0,,,
Patan,2.72529709,0.128901094,2.596395996,patan,Patan,48,2,1464752,25.0,0,,,
Pathanamthitta,1.224907042,0.233181386,0.991725656,pathanamthitta,Pathanamthitta,132,30,1320089,6.0,0,,,
Pathankot,2.474306677,1.207937139,1.266369538,pathankot,Pathankot,6,0,713016,7.0,0,,,
Patiala,4.903037722,0.000974475,4.902063247,patiala,Patiala,80,74,2269761,5.0,0,,,
Patna,20.26981192,1.449192516,18.8206194,patna,Patna,381,30,6868950,16.0,0,,,
Peddapalli,3.699961317,1.102681823,2.597279494,peddapalli,Peddapalli,1,0,919259,10.0,0,,,
Perambalur,0.714228873,0.002767237,0.711461636,perambalur,Perambalur,32,4,600175,8.0,0,,,
Peren,0.587829484,0.001342531,0.586486953,peren,Peren,1,0,96231,4.0,0,,,
Phek,1.968885678,0.002356585,1.966529093,phek,Phek,2,2,164195,4.0,0,,,
Pherzawl,2.387954764,0.021159458,2.366795306,pherzawl,Pherzawl,0,0,54252,7.0,0,,,
Pilibhit,3.104616978,0.672146699,2.432470279,pilibhit,Pilibhit,98,1,2398821,23.0,0,,,
Pithoragarh,0.525534276,0.108953862,0.416580414,pithoragarh,Pithoragarh,1636,21,510103,3.0,0,,,
Porbandar,5.378579118,0.51266173,4.865917388,porbandar,Porbandar,49,2,660431,12.0,0,,,
Prakasam,1.152408401,0.273749091,0.87865931,prakasam,Prakasam,177,0,3731704,8.0,0,,,
Pratapgarh,0.34101676,0.239472067,0.101544693,pratapgarh,Pratapgarh,165,9,1070109,23.0,0,,,
